Delta_Theta,Magnitude,True_Doppler
0.625410,0.589157,356.481476
0.625285,0.589377,356.481476
0.656379,0.590078,356.481476
0.635773,0.593254,356.481476
0.639937,0.585989,356.481476
0.605446,0.587833,356.481476
0.646552,0.679283,356.481476
0.639693,0.680632,356.481476
0.637097,0.686508,356.481476
0.638432,0.683460,356.481476
0.628430,0.681247,356.481476
0.649054,0.682830,356.481476
0.632084,0.680272,356.481476
0.636616,0.682516,356.481476
0.627863,0.683322,356.481476
0.647198,0.680245,356.481476
0.630353,0.679469,356.481476
0.636670,0.678805,356.481476
0.652005,0.677936,356.481476
0.639872,0.680373,356.481476
0.635550,0.685449,356.481476
0.647592,0.683852,356.481476
0.639641,0.682496,356.481476
0.654171,0.679917,356.481476
0.642290,0.678425,356.481476
0.622305,0.675313,356.481476
0.644480,0.739657,356.481476
0.661408,0.734518,356.481476
0.644682,0.737230,356.481476
0.639612,0.741291,356.481476
0.632398,0.736733,356.481476
0.642340,0.743814,356.481476
0.635707,0.743707,356.481476
0.631810,0.743441,356.481476
0.637440,0.742609,356.481476
0.644954,0.738427,356.481476
0.617273,0.742608,356.481476
0.636905,0.741796,356.481476
0.643112,0.736287,356.481476
0.639401,0.739166,356.481476
0.641647,0.741423,356.481476
0.644220,0.737792,356.481476
0.634837,0.742942,356.481476
0.643769,0.737741,356.481476
0.634323,0.742492,356.481476
0.635189,0.740446,356.481476
0.635942,0.776520,356.481476
0.636194,0.777866,356.481476
0.629129,0.783530,356.481476
0.655166,0.780389,356.481476
0.644009,0.780685,356.481476
0.640854,0.779946,356.481476
0.642489,0.781906,356.481476
0.638487,0.776871,356.481476
0.631219,0.779205,356.481476
0.635805,0.778636,356.481476
0.642926,0.780125,356.481476
0.649265,0.777449,356.481476
0.632917,0.779561,356.481476
0.628869,0.773800,356.481476
0.646138,0.780909,356.481476
0.635182,0.779325,356.481476
0.643206,0.776800,356.481476
0.637954,0.778759,356.481476
0.642398,0.781004,356.481476
0.638351,0.782823,356.481476
0.639737,0.805992,356.481476
0.642002,0.808211,356.481476
0.634563,0.809042,356.481476
0.635858,0.806823,356.481476
0.638197,0.806248,356.481476
0.639305,0.804754,356.481476
0.637598,0.806015,356.481476
0.643065,0.804280,356.481476
0.646709,0.810428,356.481476
0.636511,0.809249,356.481476
0.635179,0.811660,356.481476
0.638621,0.809274,356.481476
0.631540,0.811028,356.481476
0.636818,0.809008,356.481476
0.631824,0.808056,356.481476
0.634263,0.806955,356.481476
0.635966,0.806112,356.481476
0.643007,0.807325,356.481476
0.637574,0.805564,356.481476
0.634116,0.809586,356.481476
0.641004,0.831671,356.481476
0.641259,0.830011,356.481476
0.638714,0.830271,356.481476
0.644704,0.831074,356.481476
0.644190,0.831526,356.481476
0.639635,0.830708,356.481476
0.637101,0.831011,356.481476
0.641192,0.830693,356.481476
0.640827,0.829998,356.481476
0.640463,0.831288,356.481476
0.638779,0.829865,356.481476
0.646949,0.831278,356.481476
0.631980,0.830319,356.481476
0.644501,0.827644,356.481476
0.636929,0.827914,356.481476
0.634425,0.828761,356.481476
0.637802,0.829308,356.481476
0.639986,0.830514,356.481476
0.638966,0.829293,356.481476
0.635611,0.830703,356.481476
0.363727,0.028299,388.888916
0.723582,0.029630,388.888916
1.227970,0.026227,388.888916
0.615203,0.025550,388.888916
0.583643,0.034048,388.888916
0.775309,0.026181,388.888916
0.755020,0.028597,388.888916
0.793835,0.014629,388.888916
1.494191,0.014161,388.888916
0.562194,0.021142,388.888916
0.198169,0.033740,388.888916
0.618322,0.021312,388.888916
0.543335,0.025140,388.888916
1.275090,0.013108,388.888916
0.504126,0.022259,388.888916
0.319784,0.018059,388.888916
0.950462,0.005370,388.888916
0.667570,0.029722,388.888916
0.295157,0.030924,388.888916
0.656006,0.035845,388.888916
0.688149,0.416053,388.888916
0.681886,0.413481,388.888916
0.666094,0.413191,388.888916
0.695283,0.415043,388.888916
0.712353,0.411475,388.888916
0.713492,0.425846,388.888916
0.705737,0.413884,388.888916
0.697711,0.415612,388.888916
0.704450,0.416364,388.888916
0.738183,0.417599,388.888916
0.701068,0.410895,388.888916
0.691372,0.418293,388.888916
0.703075,0.420135,388.888916
0.693248,0.416028,388.888916
0.699883,0.414225,388.888916
0.710033,0.413350,388.888916
0.728938,0.417686,388.888916
0.729583,0.416694,388.888916
0.691793,0.414962,388.888916
0.708143,0.417375,388.888916
0.696365,0.588758,388.888916
0.694225,0.588664,388.888916
0.698692,0.588612,388.888916
0.701252,0.592132,388.888916
0.686598,0.583909,388.888916
0.709643,0.585088,388.888916
0.680847,0.588923,388.888916
0.682887,0.590197,388.888916
0.697690,0.583005,388.888916
0.696586,0.585135,388.888916
0.696658,0.583197,388.888916
0.708662,0.591645,388.888916
0.704954,0.590087,388.888916
0.681451,0.591826,388.888916
0.722299,0.585294,388.888916
0.690720,0.584460,388.888916
0.690426,0.584808,388.888916
0.713940,0.592690,388.888916
0.699837,0.581397,388.888916
0.702069,0.589070,388.888916
0.693293,0.683712,388.888916
0.708731,0.683340,388.888916
0.694684,0.682496,388.888916
0.706666,0.681203,388.888916
0.691763,0.678940,388.888916
0.686616,0.686039,388.888916
0.694716,0.679138,388.888916
0.699573,0.682229,388.888916
0.697411,0.680187,388.888916
0.713155,0.677184,388.888916
0.685420,0.679275,388.888916
0.700737,0.679817,388.888916
0.691173,0.682558,388.888916
0.699002,0.680733,388.888916
0.692744,0.683648,388.888916
0.692566,0.681814,388.888916
0.690638,0.685915,388.888916
0.711227,0.681285,388.888916
0.702065,0.678276,388.888916
0.688081,0.678978,388.888916
0.704987,0.736877,388.888916
0.693461,0.739378,388.888916
0.695283,0.735026,388.888916
0.705576,0.740838,388.888916
0.705221,0.736973,388.888916
0.698061,0.740393,388.888916
0.701773,0.741764,388.888916
0.694993,0.738588,388.888916
0.695120,0.737969,388.888916
0.691080,0.737916,388.888916
0.690800,0.739530,388.888916
0.687750,0.739642,388.888916
0.690106,0.739466,388.888916
0.695574,0.740198,388.888916
0.690921,0.741774,388.888916
0.701683,0.738837,388.888916
0.703832,0.740493,388.888916
0.701790,0.739661,388.888916
0.684723,0.739330,388.888916
0.688605,0.736430,388.888916
0.703583,0.780481,388.888916
0.698388,0.777651,388.888916
0.690178,0.781767,388.888916
0.704397,0.781035,388.888916
0.700634,0.778318,388.888916
0.695040,0.779811,388.888916
0.693303,0.782081,388.888916
0.691912,0.780143,388.888916
0.706676,0.776555,388.888916
0.687947,0.775882,388.888916
0.700210,0.777472,388.888916
0.696561,0.778569,388.888916
0.700525,0.776020,388.888916
0.694267,0.778234,388.888916
0.690871,0.779484,388.888916
0.696667,0.780867,388.888916
0.704398,0.777583,388.888916
0.708413,0.779965,388.888916
0.699426,0.781468,388.888916
0.692096,0.780836,388.888916
0.702820,0.810112,388.888916
0.690745,0.808517,388.888916
0.692975,0.806164,388.888916
0.698281,0.807928,388.888916
0.703219,0.809107,388.888916
0.689842,0.807991,388.888916
0.703346,0.808319,388.888916
0.695845,0.810377,388.888916
0.701738,0.806698,388.888916
0.708011,0.808970,388.888916
0.692302,0.806088,388.888916
0.690282,0.806506,388.888916
0.697560,0.807587,388.888916
0.698795,0.809379,388.888916
0.698933,0.805128,388.888916
0.693959,0.804744,388.888916
0.697958,0.809295,388.888916
0.702191,0.805539,388.888916
0.694101,0.809766,388.888916
0.701899,0.811069,388.888916
0.698556,0.831185,388.888916
0.697640,0.829783,388.888916
0.694980,0.829513,388.888916
0.702403,0.830674,388.888916
0.701194,0.829817,388.888916
0.685611,0.831545,388.888916
0.702700,0.830712,388.888916
0.692518,0.828497,388.888916
0.697280,0.829128,388.888916
0.697857,0.829910,388.888916
0.699500,0.832384,388.888916
0.700954,0.829243,388.888916
0.697179,0.828277,388.888916
0.699835,0.827378,388.888916
0.692512,0.832008,388.888916
0.693761,0.829813,388.888916
0.692863,0.830118,388.888916
0.697709,0.831042,388.888916
0.698480,0.825096,388.888916
0.693092,0.831899,388.888916
0.716187,0.020091,421.296295
0.650009,0.028918,421.296295
0.651831,0.009752,421.296295
1.013238,0.021134,421.296295
0.613338,0.025004,421.296295
0.944035,0.030410,421.296295
0.558205,0.029938,421.296295
0.591191,0.033855,421.296295
0.723738,0.011802,421.296295
0.811522,0.032353,421.296295
0.690164,0.037205,421.296295
0.544044,0.024199,421.296295
1.579177,0.024463,421.296295
0.576978,0.029264,421.296295
1.390935,0.018197,421.296295
0.862718,0.027008,421.296295
0.683955,0.012905,421.296295
0.771215,0.027926,421.296295
1.164914,0.030213,421.296295
0.706579,0.016829,421.296295
0.740060,0.410195,421.296295
0.756719,0.411716,421.296295
0.720294,0.420243,421.296295
0.732929,0.413718,421.296295
0.729175,0.413304,421.296295
0.784572,0.418523,421.296295
0.759251,0.416938,421.296295
0.737646,0.407428,421.296295
0.737328,0.411666,421.296295
0.786748,0.423794,421.296295
0.742170,0.425157,421.296295
0.772512,0.421902,421.296295
0.730941,0.414826,421.296295
0.794606,0.427712,421.296295
0.760382,0.422544,421.296295
0.772681,0.417179,421.296295
0.764398,0.418427,421.296295
0.752714,0.413320,421.296295
0.750774,0.415757,421.296295
0.759974,0.423521,421.296295
0.764545,0.590054,421.296295
0.745763,0.588101,421.296295
0.768465,0.593440,421.296295
0.746963,0.586880,421.296295
0.745136,0.586966,421.296295
0.747514,0.590063,421.296295
0.766544,0.590283,421.296295
0.762927,0.593283,421.296295
0.750822,0.592032,421.296295
0.773154,0.585360,421.296295
0.752184,0.584889,421.296295
0.753341,0.596019,421.296295
0.750925,0.588178,421.296295
0.746972,0.588127,421.296295
0.756448,0.595963,421.296295
0.754983,0.591561,421.296295
0.745666,0.587861,421.296295
0.767243,0.591459,421.296295
0.758806,0.586817,421.296295
0.749159,0.592151,421.296295
0.742325,0.685753,421.296295
0.751079,0.678823,421.296295
0.767335,0.681573,421.296295
0.747864,0.680280,421.296295
0.757262,0.682336,421.296295
0.749376,0.684877,421.296295
0.750878,0.681462,421.296295
0.747604,0.682471,421.296295
0.753808,0.681811,421.296295
0.757329,0.684279,421.296295
0.752986,0.678976,421.296295
0.766447,0.676805,421.296295
0.754841,0.680635,421.296295
0.755986,0.681863,421.296295
0.746467,0.685586,421.296295
0.756073,0.682776,421.296295
0.753696,0.683599,421.296295
0.756891,0.679120,421.296295
0.766449,0.681084,421.296295
0.739929,0.681239,421.296295
0.751844,0.738466,421.296295
0.746339,0.737583,421.296295
0.752102,0.740013,421.296295
0.751368,0.741482,421.296295
0.751073,0.736895,421.296295
0.752537,0.737732,421.296295
0.749579,0.740678,421.296295
0.756902,0.738469,421.296295
0.748479,0.743778,421.296295
0.751764,0.739458,421.296295
0.761072,0.737753,421.296295
0.751646,0.743059,421.296295
0.754064,0.737612,421.296295
0.755944,0.739870,421.296295
0.740661,0.741259,421.296295
0.740298,0.735795,421.296295
0.754837,0.739616,421.296295
0.769268,0.738687,421.296295
0.744525,0.735220,421.296295
0.754667,0.739518,421.296295
0.747971,0.779676,421.296295
0.768415,0.782021,421.296295
0.751202,0.779446,421.296295
0.736114,0.777071,421.296295
0.752065,0.778714,421.296295
0.754195,0.782946,421.296295
0.755158,0.780309,421.296295
0.756677,0.776522,421.296295
0.763823,0.779845,421.296295
0.751549,0.781058,421.296295
0.752513,0.777047,421.296295
0.757079,0.777203,421.296295
0.749257,0.782736,421.296295
0.759610,0.778053,421.296295
0.757737,0.776221,421.296295
0.752411,0.778424,421.296295
0.752959,0.781828,421.296295
0.761690,0.778820,421.296295
0.762123,0.779927,421.296295
0.753530,0.779244,421.296295
0.756267,0.807917,421.296295
0.754785,0.808001,421.296295
0.759361,0.809811,421.296295
0.754919,0.806919,421.296295
0.762471,0.808447,421.296295
0.746854,0.808072,421.296295
0.761546,0.808664,421.296295
0.751975,0.808671,421.296295
0.748302,0.809667,421.296295
0.757325,0.807657,421.296295
0.752634,0.808250,421.296295
0.755828,0.808420,421.296295
0.758475,0.807280,421.296295
0.755471,0.807493,421.296295
0.752178,0.806927,421.296295
0.748199,0.806434,421.296295
0.760551,0.807843,421.296295
0.751019,0.809251,421.296295
0.763559,0.809453,421.296295
0.757061,0.808610,421.296295
0.759010,0.831138,421.296295
0.754588,0.830434,421.296295
0.746684,0.829822,421.296295
0.756914,0.829632,421.296295
0.754852,0.831403,421.296295
0.754350,0.829601,421.296295
0.753783,0.829385,421.296295
0.754358,0.828338,421.296295
0.759358,0.828905,421.296295
0.756821,0.827597,421.296295
0.752964,0.832498,421.296295
0.752984,0.831984,421.296295
0.751539,0.829332,421.296295
0.762608,0.830471,421.296295
0.751402,0.830501,421.296295
0.767157,0.828744,421.296295
0.751545,0.829756,421.296295
0.754191,0.829533,421.296295
0.757332,0.830236,421.296295
0.757077,0.831989,421.296295
0.503656,0.025202,453.703705
0.753500,0.022955,453.703705
0.739129,0.027933,453.703705
1.247643,0.016075,453.703705
0.944413,0.026905,453.703705
0.742140,0.018248,453.703705
0.541006,0.030064,453.703705
0.494184,0.018223,453.703705
1.089879,0.032600,453.703705
1.065494,0.019464,453.703705
0.011791,0.023605,453.703705
0.952853,0.018307,453.703705
0.318289,0.016303,453.703705
0.713215,0.030574,453.703705
0.784236,0.032897,453.703705
1.295551,0.022923,453.703705
1.034214,0.022777,453.703705
0.888089,0.032432,453.703705
0.255792,0.031832,453.703705
0.495765,0.015232,453.703705
0.802315,0.419546,453.703705
0.797245,0.414865,453.703705
0.816731,0.411697,453.703705
0.790359,0.422522,453.703705
0.788403,0.421852,453.703705
0.785926,0.417794,453.703705
0.825280,0.409892,453.703705
0.781127,0.412776,453.703705
0.823027,0.416217,453.703705
0.787305,0.415971,453.703705
0.811583,0.418529,453.703705
0.777296,0.416617,453.703705
0.835682,0.416276,453.703705
0.822461,0.423466,453.703705
0.808840,0.418845,453.703705
0.776326,0.417116,453.703705
0.819984,0.415987,453.703705
0.811547,0.416082,453.703705
0.804140,0.411465,453.703705
0.841759,0.418273,453.703705
0.824085,0.581242,453.703705
0.833759,0.585110,453.703705
0.806251,0.590807,453.703705
0.811747,0.588977,453.703705
0.827339,0.591214,453.703705
0.811820,0.581272,453.703705
0.812656,0.587061,453.703705
0.813107,0.593345,453.703705
0.818569,0.587312,453.703705
0.787466,0.588320,453.703705
0.818603,0.589775,453.703705
0.808133,0.587538,453.703705
0.803467,0.588783,453.703705
0.831611,0.591671,453.703705
0.801626,0.592365,453.703705
0.809117,0.593112,453.703705
0.819841,0.584560,453.703705
0.818495,0.586510,453.703705
0.810902,0.594234,453.703705
0.813826,0.595735,453.703705
0.809126,0.679019,453.703705
0.807567,0.677519,453.703705
0.811765,0.682684,453.703705
0.819190,0.682073,453.703705
0.806760,0.681524,453.703705
0.824590,0.680920,453.703705
0.803025,0.682306,453.703705
0.805616,0.683622,453.703705
0.809378,0.686806,453.703705
0.811885,0.682250,453.703705
0.818428,0.680808,453.703705
0.821514,0.680470,453.703705
0.821362,0.680139,453.703705
0.795705,0.682193,453.703705
0.819456,0.687803,453.703705
0.806984,0.682914,453.703705
0.817376,0.676336,453.703705
0.807117,0.683097,453.703705
0.799935,0.685269,453.703705
0.812072,0.682753,453.703705
0.811757,0.744968,453.703705
0.823472,0.741367,453.703705
0.811198,0.738905,453.703705
0.804807,0.739754,453.703705
0.808014,0.737481,453.703705
0.807194,0.743236,453.703705
0.807710,0.742966,453.703705
0.815720,0.739123,453.703705
0.816530,0.735697,453.703705
0.805457,0.741180,453.703705
0.827073,0.738839,453.703705
0.810827,0.740436,453.703705
0.809040,0.743343,453.703705
0.819665,0.739257,453.703705
0.818726,0.741786,453.703705
0.816447,0.739212,453.703705
0.823171,0.739218,453.703705
0.814316,0.738910,453.703705
0.821264,0.743728,453.703705
0.818837,0.738924,453.703705
0.810007,0.778401,453.703705
0.811515,0.778854,453.703705
0.811226,0.778748,453.703705
0.812984,0.781530,453.703705
0.813433,0.781070,453.703705
0.802478,0.780187,453.703705
0.816967,0.778423,453.703705
0.819116,0.779473,453.703705
0.808939,0.777761,453.703705
0.813879,0.783854,453.703705
0.826120,0.775787,453.703705
0.810902,0.778055,453.703705
0.822449,0.782502,453.703705
0.815785,0.777941,453.703705
0.805089,0.783822,453.703705
0.814769,0.775791,453.703705
0.819713,0.778179,453.703705
0.817744,0.776732,453.703705
0.820249,0.780509,453.703705
0.805652,0.781041,453.703705
0.816581,0.808595,453.703705
0.823150,0.807353,453.703705
0.817894,0.807900,453.703705
0.816643,0.808092,453.703705
0.809800,0.808001,453.703705
0.820836,0.808184,453.703705
0.818464,0.808015,453.703705
0.804952,0.808795,453.703705
0.818663,0.808410,453.703705
0.815825,0.808705,453.703705
0.812582,0.809750,453.703705
0.814249,0.806311,453.703705
0.814538,0.806771,453.703705
0.814036,0.806608,453.703705
0.817374,0.808663,453.703705
0.818332,0.810007,453.703705
0.818073,0.808198,453.703705
0.808354,0.807074,453.703705
0.819557,0.806022,453.703705
0.808657,0.810509,453.703705
0.810198,0.830894,453.703705
0.805733,0.829462,453.703705
0.819944,0.830538,453.703705
0.816371,0.830356,453.703705
0.818631,0.830561,453.703705
0.811671,0.830479,453.703705
0.813654,0.832396,453.703705
0.822560,0.830733,453.703705
0.810462,0.830325,453.703705
0.809014,0.832802,453.703705
0.808048,0.830627,453.703705
0.812656,0.829480,453.703705
0.817522,0.829605,453.703705
0.816164,0.832541,453.703705
0.807493,0.829357,453.703705
0.811469,0.828967,453.703705
0.813526,0.828438,453.703705
0.814870,0.831473,453.703705
0.819306,0.828262,453.703705
0.817937,0.831443,453.703705
1.428826,0.012851,486.111145
1.016543,0.027310,486.111145
0.183257,0.014855,486.111145
0.415340,0.024999,486.111145
0.787366,0.032738,486.111145
0.883986,0.015496,486.111145
0.584661,0.019138,486.111145
1.428896,0.020661,486.111145
0.949022,0.031512,486.111145
0.027540,0.007473,486.111145
0.294855,0.034843,486.111145
1.089978,0.017470,486.111145
0.347473,0.032523,486.111145
0.645837,0.020477,486.111145
0.993705,0.029115,486.111145
0.517437,0.022904,486.111145
0.258449,0.018023,486.111145
0.561980,0.022817,486.111145
1.126757,0.025631,486.111145
0.581063,0.020044,486.111145
0.866705,0.417851,486.111145
0.896277,0.413125,486.111145
0.859978,0.422401,486.111145
0.857466,0.410360,486.111145
0.883094,0.409211,486.111145
0.854614,0.422754,486.111145
0.869559,0.404843,486.111145
0.879366,0.423142,486.111145
0.867290,0.417288,486.111145
0.843151,0.419622,486.111145
0.872200,0.417421,486.111145
0.886725,0.420307,486.111145
0.908176,0.412020,486.111145
0.871353,0.418241,486.111145
0.862237,0.421568,486.111145
0.852279,0.414831,486.111145
0.858495,0.412989,486.111145
0.865680,0.414338,486.111145
0.890042,0.413556,486.111145
0.869772,0.412637,486.111145
0.877794,0.586616,486.111145
0.882636,0.581856,486.111145
0.891003,0.591275,486.111145
0.873934,0.589924,486.111145
0.861346,0.588322,486.111145
0.877345,0.589590,486.111145
0.855894,0.596601,486.111145
0.873225,0.591536,486.111145
0.865028,0.587826,486.111145
0.867223,0.588692,486.111145
0.869285,0.598847,486.111145
0.869733,0.589976,486.111145
0.850892,0.591459,486.111145
0.889042,0.591731,486.111145
0.866994,0.591992,486.111145
0.871875,0.588594,486.111145
0.884103,0.588364,486.111145
0.879512,0.592273,486.111145
0.868602,0.584818,486.111145
0.867808,0.589982,486.111145
0.869985,0.682584,486.111145
0.877237,0.681049,486.111145
0.868487,0.679731,486.111145
0.868052,0.677564,486.111145
0.863342,0.686920,486.111145
0.878411,0.688212,486.111145
0.880946,0.681134,486.111145
0.870593,0.685682,486.111145
0.883204,0.684413,486.111145
0.867978,0.680465,486.111145
0.869069,0.679628,486.111145
0.860741,0.681273,486.111145
0.877616,0.680468,486.111145
0.865156,0.682209,486.111145
0.865065,0.681237,486.111145
0.870618,0.685100,486.111145
0.893397,0.681780,486.111145
0.871961,0.684898,486.111145
0.856971,0.680696,486.111145
0.875678,0.681930,486.111145
0.875507,0.742868,486.111145
0.887879,0.738126,486.111145
0.864276,0.739646,486.111145
0.880143,0.735320,486.111145
0.872865,0.739821,486.111145
0.867329,0.742476,486.111145
0.871433,0.740404,486.111145
0.871623,0.742378,486.111145
0.867473,0.740275,486.111145
0.865049,0.736540,486.111145
0.874215,0.738960,486.111145
0.864831,0.743056,486.111145
0.866962,0.742704,486.111145
0.878061,0.743089,486.111145
0.871040,0.741738,486.111145
0.863773,0.737807,486.111145
0.872173,0.741396,486.111145
0.869035,0.739355,486.111145
0.874032,0.740398,486.111145
0.876730,0.740070,486.111145
0.869182,0.779089,486.111145
0.875392,0.774924,486.111145
0.874191,0.780790,486.111145
0.875774,0.778536,486.111145
0.865185,0.780034,486.111145
0.875540,0.777857,486.111145
0.871538,0.776058,486.111145
0.866185,0.778074,486.111145
0.860808,0.780885,486.111145
0.871297,0.781082,486.111145
0.861431,0.779283,486.111145
0.876989,0.777366,486.111145
0.871959,0.777713,486.111145
0.874508,0.778558,486.111145
0.869301,0.779590,486.111145
0.873486,0.780168,486.111145
0.870266,0.779279,486.111145
0.864652,0.780934,486.111145
0.871015,0.781890,486.111145
0.864570,0.781364,486.111145
0.870388,0.808177,486.111145
0.863869,0.807998,486.111145
0.866399,0.804583,486.111145
0.877748,0.803834,486.111145
0.877851,0.806584,486.111145
0.871365,0.806241,486.111145
0.868513,0.807833,486.111145
0.877171,0.809647,486.111145
0.879790,0.806724,486.111145
0.863804,0.805671,486.111145
